GEOID,gmfd_mad,gmfd_sd
19075,0.8202,0.2573
19077,0.40490000000000004,0.6136999999999999
19079,0.8648,0.4
19081,0.3879,0.46509999999999996
19083,0.5425,0.26249999999999996
19085,0.14569999999999994,0.46909999999999996
19087,0.46709999999999996,0.3315
19089,0.2299,0.12780000000000002
19091,0.5546,0.6008
19093,0.6573,0.7191000000000001
19095,0.20350000000000001,0.1734
19097,0.32409999999999994,0.4948
19099,0.5630999999999999,0.13219999999999998
19101,0.2459,0.34329999999999994
19103,0.15510000000000002,0.21589999999999998
19105,0.29489999999999994,0.4044
19107,0.274,0.28169999999999995
19109,0.6161,0.5370999999999999
19111,0.6014999999999999,0.5438000000000001
19113,0.3699,0.26539999999999997
19115,0.6759,0.13039999999999996
19117,0.756,0.5445
19119,0.2127,0.4567
19121,0.7678,0.41059999999999997
19123,0.44489999999999996,0.3177
19125,0.7317,0.35229999999999995
19127,0.5831999999999999,0.12539999999999996
19129,0.05230000000000001,0.47429999999999994
19131,0.2592,0.08429999999999993
19133,0.43809999999999993,0.6315
19135,0.585,0.5277000000000001
19137,0.22729999999999995,0.6717
19139,0.29469999999999996,0.0907
19141,0.6537,0.6381
19143,0.36239999999999994,0.5967
19145,0.3133,0.6182
19147,0.6729,0.6421
19149,0.7794,0.8542000000000001
19151,0.8969,0.6388
19153,0.9508,0.1874
19155,0.27779999999999994,0.5745
19157,0.4131,0.15389999999999993
19159,0.6738,0.6069
19161,0.5326,0.5656
19163,0.42769999999999997,0.14700000000000002
19165,0.17309999999999992,0.6634
19167,0.365,0.6902999999999999
19169,0.44699999999999995,0.13639999999999997
19171,0.5827,0.16079999999999994
19173,0.7418,0.7041999999999999
19175,0.6259,0.5522
19177,0.5349999999999999,0.47040000000000004
19179,0.264,0.42869999999999997
19181,0.877,0.41259999999999997
19183,0.23349999999999993,0.18930000000000002
19185,0.6981999999999999,0.6627000000000001
19187,0.2994,0.563
19189,0.20399999999999996,0.32089999999999996
19191,0.09909999999999997,0.1995
19193,0.6369,0.8190999999999999
19195,0.3285,0.11219999999999997
19197,0.874,0.6499999999999999
20001,0.9905,0.9956
20003,0.8316,0.9918
20005,0.20829999999999993,0.7561
20007,0.7794,0.9642
20009,0.4526,0.8148
20011,0.8104,0.976
20013,0.3821,0.8161
20015,0.8343,0.8909
20017,0.953,0.9438
20019,0.9703,0.9345
20021,0.8089999999999999,0.9921
20023,0.7813,0.9314
20025,0.4838,0.9849
20027,0.3651,0.8078
20029,0.6208,0.7971
20031,0.8865999999999999,0.9898
20033,0.7885,0.957
20035,0.8821,0.9328
20037,0.9824,0.9876
20039,0.9322,0.9781
20041,0.8708,0.8819
20043,0.29899999999999993,0.7354
20045,0.47909999999999997,0.9114
20047,0.7801,0.9868
20049,0.9477,0.9621999999999999
20051,0.46040000000000003,0.6264000000000001
20053,0.636,0.8123
20055,0.9392,0.9837
20057,0.7083999999999999,0.9931
20059,0.7745,0.9727
20061,0.8575,0.8533999999999999
20063,0.5209999999999999,0.9784
20065,0.4367,0.8539
20067,0.9682,0.9802
20069,0.9941,0.9932
20071,0.5844,0.8762
20073,0.9763,0.9596
20075,0.8533999999999999,0.9165
20077,0.8395,0.9344
20079,0.9963,0.9123
20081,0.9973,0.993
20083,0.5408999999999999,0.9709
20085,0.3335,0.8861
20087,0.12009999999999998,0.763
20089,0.599,0.869
20091,0.0887,0.9298
20093,0.8398,0.9006
20095,0.8573,0.9449
20097,0.6789000000000001,0.9857
20099,0.9953,0.994
20101,0.7449,0.938
20103,0.2583,0.7365999999999999
20105,0.5117,0.766
20107,0.6940999999999999,0.9788
20109,0.893,0.9975
20111,0.9658,0.9616
20113,0.9928,0.8958
20115,0.995,0.9444
20117,0.9193,0.9776
20119,0.8319,0.991
20121,0.639,0.9659
20123,0.6486000000000001,0.8308
20125,0.9709,0.967
20127,0.9588,0.9296
20129,0.9869,0.9951
20131,0.8819,0.9541999999999999
20133,0.9872,0.9944
